Stage3, S4_P3, SHORT_ACTION, SHORT_1, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_10, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_2, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_3, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_4, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_5, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_6, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_7, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_8, 0.0, 0.08412302677370347
Stage3, S4_P3, SHORT_ACTION, SHORT_9, 0.0, 0.08412302677370347
Stage3, S4_P3, ST_ACTION, OPTION, 14320.000000015601, 0.08412302677370347
Stage3, S4_P3, ST_ACTION, RESTRICT, 0.0, 0.08412302677370347
Stage3, S4_P3, ST_ACTION, SPOT, 0.0, 0.08412302677370347
Stage3, S5_P3, EXP_VOP_ACTION, DESAL, 550000.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_1, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_10, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_2, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_3, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_4, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_5, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_6, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_7, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_8, 0.0, 0.07478111198772877
Stage3, S5_P3, SHORT_ACTION, SHORT_9, 0.0, 0.07478111198772877
Stage3, S5_P3, ST_ACTION, OPTION, 200000.0, 0.07478111198772877
Stage3, S5_P3, ST_ACTION, RESTRICT, 0.0, 0.07478111198772877
Stage3, S5_P3, ST_ACTION, SPOT, 0.0, 0.07478111198772877
Stage3, S6_P3, EXP_VOP_ACTION, DESAL, 669600.0000001177, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_1, 30399.999999882308, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_10, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_2, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_3, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_4, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_5, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_6, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_7, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_8, 0.0, 0.07011015459474143
Stage3, S6_P3, SHORT_ACTION, SHORT_9, 0.0, 0.07011015459474143
Stage3, S6_P3, ST_ACTION, OPTION, 200000.0, 0.07011015459474143
Stage3, S6_P3, ST_ACTION, RESTRICT, 0.0, 0.07011015459474143
Stage3, S6_P3, ST_ACTION, SPOT, 50000.0, 0.07011015459474143
Stage3, S7_P3, EXP_VOP_ACTION, DESAL, 669600.0000000956, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_1, 230399.99999990442, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_10, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_2, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_3, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_4, 0.0, 0.03269670175091142
Stage3, S7_P3, SHORT_ACTION, SHORT_5, 0.0, 0.03269670175091142
